timestamp,cpu_usage,memory_usage,network_io,disk_io,temperature
2024-01-01 00:00:00,45.2,62.1,1024,512,68.5
2024-01-01 01:00:00,42.8,58.9,1156,489,67.2
2024-01-01 02:00:00,41.5,55.7,1089,501,66.8
2024-01-01 03:00:00,39.2,52.3,965,478,65.9
2024-01-01 04:00:00,38.1,51.1,892,445,65.2
2024-01-01 05:00:00,37.5,50.8,823,432,64.8
2024-01-01 06:00:00,46.8,65.2,1245,567,69.1
2024-01-01 07:00:00,52.1,71.3,1456,634,71.2
2024-01-01 08:00:00,58.9,78.5,1678,712,73.4
2024-01-01 09:00:00,61.2,82.1,1834,789,74.8
2024-01-01 10:00:00,63.5,85.3,1945,823,76.1
2024-01-01 11:00:00,95.8,97.2,3456,1567,89.2
2024-01-01 12:00:00,97.1,98.8,3678,1689,91.5
2024-01-01 13:00:00,94.2,96.5,3234,1456,88.7
2024-01-01 14:00:00,65.3,86.7,1978,834,76.8
2024-01-01 15:00:00,62.8,84.2,1823,798,75.3
2024-01-01 16:00:00,59.4,81.6,1712,756,73.9
2024-01-01 17:00:00,57.1,79.3,1634,723,72.8
2024-01-01 18:00:00,54.8,76.9,1567,689,71.4
2024-01-01 19:00:00,52.3,74.1,1489,645,70.2
2024-01-01 20:00:00,49.7,71.8,1398,612,69.1
2024-01-01 21:00:00,47.2,68.5,1289,578,68.3
2024-01-01 22:00:00,44.8,65.7,1198,534,67.5
2024-01-01 23:00:00,42.1,62.3,1123,498,66.8
2024-01-02 00:00:00,41.2,59.8,1045,467,66.2